"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
659.1,947,45612.2,0
1175.2,1468,52464.5,0.00206482
161.2,308,34300,0.00309723
644.8,874,48349.7,0.00619446
725.4,981,48460.6,0.00825928
96.2,208,30310.4,0.00825928
1134.9,1519,48964.3,0.00825928
1116.7,1345,54411.9,0.0144537
1016.6,1311,50819.1,0.0165186
744.9,999,48866.6,0.017551
183.3,256,46924.8,0.017551
163.8,265,40508.7,0.0185834
756.6,979,50648.1,0.0196158
1115.4,1432,51046.7,0.022713
1210.3,1553,51074.2,0.0237454
1240.2,1640,49559.6,0.0268426
1294.8,1782,47618.4,0.0268426
1149.2,1481,50853.5,0.0289075
1216.8,1505,52986.2,0.0299399
1222,1620,49435.2,0.0299399
1298.7,1673,50873.6,0.0299399
174.2,297,38439,0.0299399
699.4,920,49821.6,0.0320047
172.9,301,37645.1,0.0330371
678.6,895,49690.2,0.0351019
182,284,41998.4,0.0351019
197.6,316,40980.7,0.0351019
1085.5,1464,48592.4,0.0443936
171.6,332,33873.4,0.0443936
670.8,893,49229.1,0.0443936
123.5,220,36789.5,0.0443936
1203.8,1585,49774.3,0.045426
772.2,1056,47923.2,0.0474908
1307.8,1708,50180.3,0.0474908
167.7,320,34345,0.0495557
757.9,1044,47576.4,0.0516205
617.5,788,51355.9,0.0536853
640.9,853,49240.4,0.0547177
179.4,304,38674.9,0.0557501
1082.9,1433,49524.7,0.0588473
1158.3,1496,50742.2,0.0598798
1088.1,1420,50218.1,0.0598798
149.5,309,31707.5,0.0609122
110.5,275,26333.6,0.0702038
1092,1396,51264.6,0.0712363
35315.8,35957,64367.3,0.0712363
826.8,961,56384.1,0.0722687
128.7,297,28398.9,0.0722687
1333.8,1805,48427.7,0.0722687
110.5,253,28623.4,0.0743335
1108.9,1483,49004,0.0763983
1257.1,1581,52109.6,0.0774307
1219.4,1541,51858.9,0.0784631
166.4,326,33451.5,0.0867224
1103.7,1336,54140.8,0.090852
1133.6,1441,51555.6,0.090852
215.8,347,40757,0.0929169
686.4,970,46375.2,0.0939493
1378,1763,51224.4,0.0949817
1157,1466,51722.5,0.0960141
140.4,289,31838.2,0.0960141
141.7,254,36560.8,0.0970465
1025.7,1368,49137.6,0.0980789
713.7,962,48620.6,0.0980789
679.9,936,47604.6,0.100144
1092,1441,49663.6,0.101176
1054.3,1301,53108.8,0.106338
1250.6,1644,49853.6,0.107371
115.7,256,29619.2,0.107371
1079,1421,49763.1,0.109435
776.1,1036,49095.1,0.1115
1281.8,1648,50973.3,0.1115
603.2,752,52568.2,0.113565
579.8,817,46508.9,0.11563
113.1,213,34798.7,0.116662
1262.3,1584,52226.1,0.117695
735.8,942,51190.4,0.118727
1131,1400,52943.7,0.120792
765.7,1036,48437.2,0.120792
451.1,638,46337.4,0.120792
179.4,281,41840.4,0.121824
1119.3,1461,50208.4,0.123889
205.4,313,43006.7,0.124922
1232.4,1544,52309.9,0.124922
1164.8,1493,51129.5,0.126986
1041.3,1365,49994.6,0.126986
1207.7,1609,49190.7,0.129051
159.9,304,34471.1,0.129051
