"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
353.6,484,47879.2,0.21775
180.7,369,32093.1,0.218782
522.6,673,50890.2,0.22291
1826.5,2217,53992.6,0.226006
2827.5,3656,50684.6,0.226006
2662.4,3449,50589.5,0.227038
1687.4,2075,53294.2,0.227038
2642.9,3228,53657.1,0.227038
156,340,30069.5,0.227038
167.7,315,34890.1,0.230134
2554.5,3188,52513.1,0.230134
1548.3,2052,49449,0.230134
2571.4,3181,52976.8,0.230134
1654.9,2197,49365.3,0.231166
2515.5,3113,52957.2,0.232198
1857.7,2204,55238.8,0.234262
2844.4,3592,51896,0.235294
163.8,296,36266.2,0.236326
452.4,593,49997.4,0.23839
110.5,252,28737,0.23839
2737.8,3578,50146.6,0.239422
313.3,538,38164.4,0.241486
100.1,217,30231.1,0.241486
1686.1,2060,53640.9,0.242518
2629.9,3390,50841.6,0.244582
2379,3068,50818.2,0.245614
1576.9,2020,51160.3,0.246646
412.1,601,44937.4,0.247678
219.7,296,48642.8,0.24871
192.4,304,41477.4,0.250774
133.9,284,30898.8,0.251806
325,449,47437,0.252838
2606.5,3292,51889.3,0.25387
1654.9,2131,50894.2,0.25387
213.2,390,35826.3,0.254902
2798.9,3520,52110.4,0.256966
291.2,433,44074.1,0.260062
2466.1,3149,51323.7,0.262126
1622.4,2132,49871.3,0.262126
2512.9,3024,54459.5,0.263158
104,237,28758.4,0.263158
2510.3,3217,51139.3,0.26419
144.3,316,29926.7,0.266254
453.7,630,47196.3,0.268318
1989,2551,51098,0.26935
117,233,32908.6,0.271414
163.8,302,35545.7,0.272446
2667.6,3406,51328.2,0.275542
1639.3,2144,50108.8,0.275542
200.2,316,41520,0.276574
388.7,529,48154.7,0.277606
271.7,439,40560.7,0.277606
609.7,837,47738.7,0.28483
1071.2,1421,49403.3,0.28483
126.1,273,30271.4,0.285862
479.7,726,43302.5,0.285862
182,348,34274.6,0.28999
761.8,997,50075.6,0.291022
2519.4,3312,49852.5,0.291022
432.9,585,48496.6,0.292054
1862.9,2345,52062.7,0.294118
486.2,657,48498.6,0.298246
425.1,548,50838.2,0.299278
2489.5,3260,50046.6,0.299278
335.4,520,42270.7,0.299278
349.7,512,44761.6,0.299278
2670.2,3425,51093.2,0.30031
2763.8,3357,53955.4,0.301342
1514.5,1966,50485.4,0.303406
2639,3419,50584.8,0.304438
1570.4,1959,52535.9,0.306502
1461.2,1776,53919.6,0.307534
2696.2,3443,51321,0.308566
813.8,1121,47576.4,0.309598
1484.6,1896,51315.8,0.31063
1595.1,2048,51043.2,0.31063
106.6,252,27722.8,0.315789
341.9,542,41340.9,0.317853
343.2,522,43088,0.317853
106.6,244,28631.7,0.319917
2464.8,3173,50908.6,0.319917
2597.4,3269,52072,0.319917
163.8,315,34078.7,0.321981
1756.3,2197,52390,0.326109
2622.1,3377,50886,0.329205
2776.8,3528,51581.7,0.330237
2450.5,3108,51671.8,0.330237
1540.5,1939,52067.2,0.331269
2986.1,3679,53193,0.331269
482.3,619,51063,0.332301
2727.4,3427,52157.2,0.333333
848.9,1109,50165.5,0.335397
426.4,633,44146.2,0.335397
405.6,557,47722.4,0.337461
2308.8,2964,51049.1,0.339525
2692.3,3392,52017.3,0.340557
210.6,310,44522.2,0.343653
1274,1685,49550.7,0.346749
354.9,516,45075.1,0.347781
106.6,228,30641,0.350877
2580.5,3209,52700.4,0.351909
1675.7,2012,54581.8,0.351909
817.7,1077,49757.5,0.352941
442,664,43624.9,0.353973
2269.8,2803,53069.4,0.353973
638.3,724,57778.5,0.355005
127.4,269,31038.2,0.357069
529.1,737,47049,0.358101
340.6,472,47291.4,0.360165
3068,3761,53460.4,0.361197
2774.2,3517,51694.6,0.363261
302.9,425,46707.9,0.369453
2759.9,3614,50047.8,0.372549
1220.7,1632,49019.5,0.374613
102.7,249,27030.3,0.375645
