"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
397.8,550,47400.4,0.0082376
3005.6,3660,53818.3,0.0494256
122.2,234,34224.4,0.0638414
130,359,23731.7,0.0638414
178.1,311,37530.4,0.0700196
292.5,452,42409.9,0.072079
2572.7,3173,53137.2,0.082376
2805.4,3529,52098.2,0.0947324
352.3,316,73064.3,0.0957621
105.3,264,26139.9,0.100911
1118,1429,51273.1,0.10297
431.6,565,50062.5,0.104
110.5,277,26143.4,0.118415
102.7,241,27927.6,0.123564
221,372,38934,0.13695
279.5,531,34495.9,0.144158
81.9,217,24734.6,0.159603
206.7,352,38483.8,0.168871
135.2,266,33310,0.174019
417.3,540,50644.8,0.175049
395.2,572,45279.4,0.182257
323.7,509,41677.8,0.185346
1729,2234,50721.5,0.191524
4581.2,5749,52223.6,0.197702
911.3,1012,59014.8,0.200791
122.2,224,35752.2,0.200791
135.2,244,36313.4,0.201821
217.1,420,33875.9,0.203881
154.7,265,38258.2,0.211088
107.9,260,27197.4,0.218296
2229.5,2749,53151.1,0.218296
473.2,689,45009.6,0.221385
183.3,333,36074.3,0.229623
150.8,245,40338.1,0.24095
146.9,316,30465.9,0.244039
192.4,376,33534.9,0.258455
475.8,701,44482.2,0.265663
1418.3,1736,53542.5,0.270811
341.9,448,50015.1,0.271841
122.2,295,27147.5,0.283167
739.7,1020,47526.4,0.30994
118.3,209,37095.3,0.34186
348.4,493,46313.9,0.355246
167.7,250,43961.6,0.355246
174.2,324,35235.7,0.37687
208,322,42333.8,0.384078
143,312,30037.3,0.385108
127.4,260,32112.6,0.386137
150.8,309,31983.3,0.391286
153.4,219,45905.1,0.401583
509.6,668,49995.7,0.422177
163.8,274,39178.1,0.451008
91,236,25270.2,0.455127
461.5,512,59072,0.456157
204.1,377,35479.8,0.460276
228.8,390,38447.8,0.462335
266.5,396,44104.4,0.468513
559,845,43354.6,0.470573
240.5,344,45818,0.486018
793,346,150202,0.500434
4919.2,5944,54237,0.505583
382.2,465,53866.4,0.521028
154.7,344,29472.1,0.521028
321.1,489,43034,0.524117
126.1,262,31542.3,0.572513
349.7,450,50928.8,0.58281
104,272,25057.9,0.594137
185.9,300,40610.5,0.601345
760.5,1036,48108.2,0.61576
150.8,309,31983.3,0.639444
154.7,321,31583.9,0.657978
165.1,321,33707.1,0.662097
3075.8,3802,53018.3,0.687839
432.9,601,47205.6,0.692988
139.1,277,32910,0.702255
3486.6,4353,52492,0.705344
390,592,43174.1,0.72079
296.4,452,42975.4,0.723879
202.8,240,55377.9,0.723879
145.6,252,37865.2,0.731087
1475.5,353,262143,0.731087
408.2,595,44961,0.736235
234,372,41224.3,0.739324
332.8,496,43972.5,0.7558
188.5,317,38970.1,0.757859
1482,1997,48635.1,0.776394
410.8,336,80125.6,0.778453
143,312,30037.3,0.782572
235.3,329,46871.2,0.783602
1535.3,2008,50108.3,0.78978
357.5,593,39509.5,0.792869
520,721,47265.9,0.792869
396.5,611,42528.7,0.792869
111.8,265,27648.8,0.794928
202.8,352,37757.7,0.804196
139.1,296,30797.5,0.811403
176.8,305,37989.4,0.82273
136.5,285,31388.3,0.85568
2385.5,3046,51325.1,0.85774
122.2,272,29443,0.864948
2224.3,2830,51509.4,0.871126
682.5,959,46640.6,0.873185
1648.4,2200,49104.3,0.879364
115.7,333,22770.3,0.895839
270.4,407,43540.4,0.898928
419.9,621,44313.3,0.910255
104,233,29252.1,0.9257
1535.3,2012,50008.7,0.964829
110.5,244,29679.2,0.969977
205.4,320,42065.9,0.971007
114.4,264,28398.9,0.972037
217.1,385,36955.5,0.978215
388.7,552,46148.3,0.987482
988,1329,48720.5,0.990571
2450.5,3115,51555.7,1.00087
109.2,257,27846.4,1.00499
100.1,217,30231.1,1.00911
325,456,46708.8,1.01219
867.1,1161,48946,1.01734
130,317,26876,1.04
431.6,684,41352.8,1.05132
106.6,231,30243,1.05956
569.4,828,45067.9,1.06059
106.6,232,30112.7,1.07501
157.3,317,32519.9,1.0853
315.9,484,42774.4,1.09045
161.2,314,33644.6,1.0956
345.8,526,43084.3,1.10693
481,698,45161.6,1.11516
124.8,282,29003.2,1.14503
1189.5,1340,58175.4,1.14606
288.6,411,46018.7,1.15326
127.4,365,22874.8,1.16047
104,224,30427.4,1.20269
101.4,232,28643.8,1.2099
208,280,48683.9,1.21711
161.2,277,38138.6,1.22431
149.5,305,32123.4,1.23461
1518.4,1746,56993.1,1.24079
279.5,339,54033.4,1.24594
131.3,321,26806.5,1.25211
