"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
482.3,678,46619.5,0.00104325
118.3,252,30765.5,0.00104325
105.3,231,29874.2,0.00208651
115.7,249,30451.9,0.00312977
115.7,266,28505.7,0.00417302
2356.9,3132,49317.3,0.00417302
105.3,241,28634.6,0.00417302
247,264,61315.9,0.00521627
360.1,347,68010.1,0.00521627
113.1,268,27657.2,0.00521627
119.6,252,31103.6,0.00521627
96.2,224,28145.4,0.00625953
130,264,32271.5,0.00730278
141.7,296,31373.1,0.00834604
118.3,238,32575.2,0.00834604
85.8,213,26399,0.00938929
109.2,276,25929.5,0.00938929
117,228,33630.3,0.00938929
1860.3,2174,56079.4,0.00938929
105.3,271,25464.7,0.00938929
117,229,33483.5,0.00938929
127.4,289,28890.3,0.0104325
100.1,293,22389.6,0.0104325
117,307,24976.3,0.0104325
323.7,461,46017.4,0.0104325
113.1,268,27657.2,0.0104325
670.8,961,45745.6,0.0104325
122.2,241,33230.3,0.0104325
85.8,222,25328.8,0.0114758
328.9,497,43369.8,0.0114758
178.1,261,44720.2,0.0114758
118.3,237,32712.7,0.0125191
81.9,216,24849.1,0.0135623
94.9,257,24199.9,0.0135623
306.8,477,42151.9,0.0135623
100.1,268,24478.2,0.0135623
189.8,328,37923,0.0135623
421.2,644,42863,0.0135623
106.6,240,29108.9,0.0146056
102.7,209,32203.6,0.0146056
119.6,242,32388.9,0.0146056
107.9,256,27622.4,0.0156488
89.7,221,26599.9,0.0156488
117,291,26349.5,0.0156488
101.4,231,28767.7,0.0156488
172.9,320,35409.9,0.0177353
182,293,40708.4,0.0208651
2476.5,1437,112944,0.0208651
111.8,317,23113.3,0.0208651
80.6,232,22768.1,0.0208651
120.9,213,37198.6,0.0229516
115.7,257,29504,0.0229516
189.8,305,40782.7,0.0239949
145.6,290,32903.6,0.0239949
159.9,376,27870.2,0.0239949
159.9,296,35402.7,0.0239949
153.4,268,37512,0.0250381
250.9,280,58724.9,0.0250381
153.4,289,34786.2,0.0260814
187.2,317,38701.4,0.0271246
132.6,253,34348.1,0.0271246
223.6,423,34642.7,0.0271246
553.8,582,62360.6,0.0281679
107.9,253,27949.9,0.0281679
115.7,212,35766.6,0.0292111
93.6,257,23868.4,0.0292111
148.2,249,39005.8,0.0312977
205.4,315,42733.6,0.0323409
119.6,252,31103.6,0.0323409
111.8,231,31718.3,0.0323409
273,365,49017.3,0.0323409
102.7,261,25787.5,0.0323409
98.8,233,27789.5,0.0323409
110.5,241,30048.7,0.0323409
114.4,228,32883,0.0323409
106.6,216,32343.2,0.0323409
159.9,248,42254.9,0.0344274
292.5,344,55724.7,0.0344274
102.7,243,27697.7,0.0354707
227.5,423,35246.9,0.0354707
133.9,323,27168,0.0354707
104,249,27372.5,0.0354707
96.2,248,25421.6,0.0354707
364,536,44505.8,0.0365139
113.1,267,27760.8,0.0365139
114.4,261,28725.4,0.0365139
144.3,230,41116.7,0.0365139
228.8,349,42964.6,0.0375572
152.1,229,43528.5,0.0375572
139.1,380,23989.6,0.0375572
87.1,229,24926.6,0.0375572
291.2,446,42789.4,0.0396437
101.4,231,28767.7,0.0396437
110.5,249,29083.2,0.0396437
156,316,32353.2,0.0406869
123.5,241,33583.8,0.0406869
102.7,228,29519.9,0.0406869
508.3,765,43545,0.0417302
241.8,332,47730.7,0.0427735
114.4,311,24107.1,0.0427735
143,272,34454.6,0.0427735
113.1,270,27452.3,0.0427735
135.2,325,27263,0.0438167
340.6,468,47695.6,0.04486
366.6,537,44740.2,0.04486
187.2,305,40224.1,0.04486
331.5,465,46720.8,0.0459032
466.7,472,64800.1,0.0469465
318.5,388,53796.9,0.0469465
96.2,225,28020.3,0.0479897
352.3,560,41229.2,0.0479897
356.2,422,55317.3,0.049033
97.5,209,30573,0.0500762
97.5,239,26735.4,0.0521627
265.2,359,48412.7,0.0521627
101.4,233,28520.8,0.0521627
111.8,270,27136.8,0.0521627
135.2,219,40458.8,0.0542493
81.9,229,23438.4,0.0552925
115.7,272,27876.9,0.0563358
296.4,436,44552.5,0.057379
117,277,27681.3,0.057379
100.1,213,30798.8,0.057379
188.5,351,35195.3,0.0584223
89.7,217,27090.2,0.0584223
79.3,210,24747.6,0.0584223
91,208,28672,0.0594655
97.5,233,27423.9,0.0594655
161.2,341,30980.7,0.0594655
425.1,592,47059.7,0.0594655
89.7,213,27599,0.0605088
117,224,34230.9,0.0605088
94.9,212,29336.6,0.0605088
370.5,493,49251.7,0.0605088
97.5,220,29044.4,0.0605088
114.4,303,24743.6,0.0605088
422.5,636,43536.1,0.061552
87.1,287,19889.2,0.0625953
114.4,209,35872.3,0.0636386
7365.8,8929,54062.6,0.0636386
133.9,253,34684.9,0.0636386
157.3,272,37900,0.0646818
166.4,264,41307.5,0.0646818
137.8,249,36268.5,0.0646818
130,289,29479.9,0.0657251
101.4,236,28158.3,0.0667683
96.2,226,27896.3,0.0667683
119.6,228,34377.7,0.0678116
175.5,389,29567,0.0698981
245.7,259,62170.6,0.0709413
343.2,512,43929.6,0.0709413
118.3,272,28503.3,0.0709413
139.1,277,32910,0.0709413
118.3,213,36398.6,0.0709413
552.5,699,51800.6,0.0719846
127.4,296,28207,0.0719846
167.7,299,36757.1,0.0730278
245.7,372,43285.5,0.0730278
92.3,212,28532.9,0.0730278
200.2,372,35269.6,0.0740711
295.1,319,60625.9,0.0740711
105.3,213,32398.8,0.0751144
149.5,221,44333.2,0.0751144
110.5,228,31762,0.0751144
111.8,254,28846.2,0.0751144
83.2,216,25243.5,0.0751144
140.4,224,41077,0.0751144
300.3,413,47652.4,0.0761576
210.6,321,42996.5,0.0772009
96.2,244,25838.4,0.0772009
193.7,364,34874.5,0.0792874
105.3,272,25371.1,0.0792874
166.4,352,30980.7,0.0803306
102.7,246,27359.9,0.0803306
448.5,616,47715.7,0.0803306
131.3,265,32471.2,0.0813739
126.1,232,35621.1,0.0813739
88.4,224,25863.3,0.0813739
315.9,410,50494.7,0.0824171
149.5,220,44534.7,0.0834604
100.1,241,27220.6,0.0834604
106.6,209,33426.5,0.0834604
210.6,373,37002.4,0.0834604
435.5,563,50694.4,0.0834604
444.6,666,43749.7,0.0845037
107.9,253,27949.9,0.0855469
119.6,208,37683.2,0.0855469
153.4,292,34428.8,0.0865902
