"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
106.6,270,25874.6,0
4119.7,2080,129802,0.00205616
3668.6,4437,54186.5,0.00308424
357.5,433,54108.8,0.0051404
249.6,401,40792.5,0.00719656
668.2,884,49537.5,0.00822465
106.6,228,30641,0.0113089
210.6,296,46628,0.013365
379.6,525,47385.6,0.0143931
109.2,271,26407.9,0.0185055
301.6,397,49787.5,0.0205616
84.5,212,26121.7,0.0205616
106.6,250,27944.5,0.0215897
200.2,385,34078.7,0.0215897
239.2,504,31103.6,0.0226178
206.7,352,38483.8,0.0236459
89.7,230,25559,0.0246739
191.1,273,45875.2,0.025702
344.5,438,51546,0.0277582
101.4,229,29019,0.0339267
470.6,664,46447.6,0.0359828
224.9,413,35687.8,0.0370109
120.9,317,24994.6,0.0390671
110.5,268,27021.4,0.0400951
204.1,337,39691.1,0.0411232
201.5,301,43872.1,0.0421513
211.9,298,46600.9,0.0452355
93.6,281,21829.8,0.0452355
416,547,49840.9,0.050376
1808.3,1453,81561.4,0.0544883
91,222,26863.9,0.0596287
149.5,308,31810.5,0.0606568
150.8,240,41178.5,0.0606568
141.7,249,37295,0.0668252
114.4,236,31768.3,0.0709376
76.7,213,23599.1,0.0719656
150.8,280,35295.8,0.0729937
130,236,36100.3,0.0740218
169,285,38861.7,0.076078
122.2,261,30683.9,0.0781341
92.3,212,28532.9,0.0781341
97.5,260,24576,0.0801903
127.4,252,33132.1,0.0812184
266.5,277,63051.8,0.0843026
75.4,228,21672.9,0.0884149
1040,1436,47463.4,0.0904711
2923.7,1532,125070,0.0914992
113.1,276,26855.5,0.0914992
419.9,552,49852.5,0.0925273
89.7,236,24909.2,0.0945834
213.2,389,35918.4,0.0966396
284.7,487,38312.3,0.0976677
390,540,47331.6,0.0986957
613.6,753,53403.6,0.0986957
414.7,588,46220.7,0.100752
115.7,229,33111.4,0.100752
105.3,253,27276.4,0.104864
145.6,333,28654.8,0.108977
343.2,449,50093.4,0.110005
144.3,278,34017.4,0.114117
118.3,244,31774.2,0.116173
127.4,257,32487.5,0.119257
143,252,37189.1,0.120285
170.3,308,36236.3,0.120285
172.9,364,31129.6,0.121314
124.8,297,27538.4,0.121314
184.6,360,33605.4,0.122342
146.9,261,36886,0.12337
560.3,804,45671.4,0.124398
171.6,333,33771.7,0.125426
302.9,424,46818.1,0.126454
114.4,251,29869.8,0.126454
105.3,236,29241.3,0.126454
354.9,473,49172.8,0.129538
118.3,253,30643.9,0.131594
87.1,213,26799,0.132622
96.2,217,29053.3,0.134679
263.9,333,51936.8,0.135707
92.3,216,28004.5,0.136735
425.1,625,44575,0.136735
87.1,251,22741.8,0.136735
123.5,348,23257.7,0.139819
261.3,404,42387.5,0.140847
1951.3,2418,52886.9,0.144959
378.3,414,59884.7,0.149072
600.6,802,49078.5,0.154212
598,804,48744.4,0.157296
278.2,382,47728,0.159352
104,211,32302.1,0.164493
120.9,241,32876.8,0.166549
17622.8,21373,54036.8,0.169633
93.6,209,29350.1,0.174774
622.7,832,49049.6,0.177858
135.2,272,32575.2,0.177858
122.2,332,24122,0.186083
93.6,226,27142.3,0.187111
157.3,297,34709.8,0.193279
107.9,224,31568.5,0.193279
252.2,405,40810.3,0.197391
232.7,412,37015.1,0.199448
1120.6,1100,66763.3,0.200476
124.8,318,25719.8,0.201504
585,750,51118.1,0.201504
3868.8,4769,53165.4,0.202532
215.8,377,37513.7,0.20356
148.2,309,31431.8,0.206644
122.2,245,32687.8,0.214869
533,696,50187.8,0.217953
1181.7,1557,49739.2,0.217953
89.7,237,24804.1,0.218981
141.7,289,32133,0.221037
234,328,46754.3,0.223094
217.1,357,39854,0.22515
107.9,268,26385.6,0.226178
126.1,316,26152.2,0.226178
161.2,292,36179.5,0.227206
432.9,525,54039.1,0.229262
219.7,333,43238,0.229262
458.9,612,49141.3,0.231318
315.9,528,39209.9,0.243655
156,300,34078.7,0.247767
430.3,552,51087.2,0.249824
388.7,530,48063.9,0.249824
569.4,805,46355.5,0.253936
273,380,47082.4,0.261132
107.9,256,27622.4,0.261132
110.5,216,33526.5,0.261132
293.8,408,47192.3,0.261132
1549.6,1929,52646.2,0.261132
296.4,333,58332.9,0.266273
2104.7,2625,52546.1,0.267301
188.5,328,37663.2,0.268329
438.1,660,43502,0.268329
115.7,269,28187.8,0.272441
130,235,36254,0.273469
237.9,392,39773,0.274498
93.6,211,29071.9,0.276554
182,360,33132.1,0.276554
306.8,404,49768.4,0.277582
1051.7,1401,49196.4,0.28375
104,242,28164.2,0.284778
202.8,308,43151.6,0.284778
104,242,28164.2,0.286835
114.4,215,34871.2,0.290947
5648.5,7032,52642.2,0.291975
136.5,275,32529.7,0.293003
94.9,253,24582.5,0.296087
93.6,267,22974.4,0.296087
175.5,249,46191,0.297115
322.4,457,46233.7,0.298143
1970.8,2568,50295.3,0.298143
302.9,392,50639.9,0.302256
354.9,552,42135.4,0.304312
174.2,272,41972,0.306368
169,306,36194.7,0.307396
91,264,22590.1,0.309452
105.3,244,28282.5,0.312537
113.1,273,27150.6,0.312537
189.8,249,49954.8,0.317677
113.1,292,25384,0.319733
184.6,369,32785.8,0.322817
403,533,49551.6,0.33207
145.6,257,37128.6,0.335154
192.4,353,35719.9,0.336182
210.6,329,41951,0.338239
105.3,225,30670.8,0.339267
105.3,248,27826.4,0.342351
79.3,225,23097.8,0.343379
247,376,43051.6,0.343379
266.5,348,50187.8,0.345435
521.3,677,50463.7,0.348519
193.7,352,36063.4,0.350575
123.5,231,35037.6,0.351604
859.3,688,81853.3,0.354688
204.1,312,42871.5,0.354688
119.6,277,28296.4,0.357772
146.9,292,32970,0.3588
1797.9,2328,50613,0.3588
191.1,417,30033.4,0.359828
93.6,289,21225.5,0.361884
113.1,229,32367.3,0.362912
188.5,352,35095.3,0.363941
89.7,209,28127.2,0.364969
154.7,300,33794.7,0.365997
339.3,472,47110.9,0.368053
2817.1,3617,51042.7,0.373193
92.3,222,27247.6,0.373193
145.6,253,37715.6,0.374221
144.3,248,38132.4,0.375249
266.5,445,39248,0.379362
252.2,457,36166.7,0.382446
387.4,529,47993.7,0.383474
227.5,385,38725.8,0.384502
319.8,517,40538.5,0.38553
243.1,353,45132.6,0.387586
139.1,267,34142.5,0.388614
161.2,304,34751.3,0.389643
279.5,468,39139.6,0.391699
5302.7,6464,53762,0.395811
94.9,242,25699.9,0.397867
338,543,40794,0.399923
269.1,387,45570.4,0.400951
127.4,309,27020.3,0.405064
98.8,244,26536.7,0.40712
81.9,244,21997.5,0.40712
250.9,324,50749.9,0.410204
869.7,1073,53119,0.411232
124.8,253,32327.6,0.41226
98.8,251,25796.6,0.414317
94.9,268,23206.6,0.417401
169,312,35498.7,0.418429
84.5,216,25637.9,0.420485
94.9,248,25078.1,0.434878
607.1,861,46210.1,0.444131
214.5,484,29044.4,0.447215
751.4,1012,48659.8,0.448243
167.7,317,34670,0.450299
340.6,585,38156.5,0.450299
137.8,217,41616.9,0.45544
126.1,333,24817.1,0.456468
133.9,262,33493.4,0.457496
117,233,32908.6,0.458524
448.5,569,51657.1,0.46058
323.7,391,54255.8,0.463664
228.8,420,35701.5,0.464692
183.3,360,33368.7,0.467777
89.7,213,27599,0.469833
127.4,271,30809.2,0.471889
626.6,864,47528.8,0.471889
85.8,213,26399,0.472917
954.2,1113,56185.5,0.474973
84.5,208,26624,0.474973
552.5,428,84599.6,0.477029
97.5,229,27902.9,0.478058
143,285,32883,0.480114
132.6,276,31485.8,0.481142
306.8,532,37794.1,0.481142
131.3,261,32968.9,0.483198
153.4,280,35904.4,0.483198
193.7,348,36477.9,0.485254
1093.3,1376,52071.6,0.48731
289.9,437,43475.7,0.490394
