"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
327.6,450,47710.2,0
150.8,237,41699.7,0.00313461
114.4,261,28725.4,0.00522435
149.5,297,32988.7,0.0104487
185.9,276,44141.8,0.0114936
122.2,280,28601.8,0.0135833
237.9,380,41029,0.0167179
565.5,676,54823.4,0.0208974
183.3,305,39386.1,0.0261217
165.1,229,47248.9,0.0261217
283.4,393,47259.3,0.0292563
132.6,288,30173.9,0.0355255
683.8,744,60233.2,0.0355255
114.4,228,32883,0.0376153
166.4,276,39511.6,0.0428396
102.7,297,22661.8,0.0491088
985.4,1246,51829.2,0.0522435
224.9,460,32041.4,0.0522435
530.4,672,51726.6,0.0616473
146.9,296,32524.5,0.063737
224.9,412,35774.4,0.0658268
118.3,302,25671.9,0.0689614
526.5,743,46439.7,0.0773203
102.7,281,23952.1,0.0773203
258.7,444,38185.1,0.0856793
183.3,344,34920.8,0.0856793
386.1,622,40680.8,0.0867241
185.9,370,32927.4,0.0929933
105.3,257,26851.9,0.100307
97.5,249,25661.7,0.104487
114.4,249,30109.7,0.105532
1391,1741,52361,0.111801
146.9,305,31564.7,0.127474
113.1,260,28508.2,0.128519
226.2,389,38108.6,0.133743
2789.8,3520,51941,0.140012
144.3,242,39077.9,0.141057
1185.6,1470,52856.8,0.150461
179.4,324,36287.5,0.15882
300.3,388,50722.8,0.161955
97.5,211,30283.2,0.163
263.9,392,44119.8,0.169269
438.1,580,49502.3,0.170314
141.7,304,30547.5,0.171359
123.5,224,36132.6,0.173448
330.2,395,54784.8,0.175538
503.1,733,44981.1,0.181807
188.5,349,35397,0.182852
96.2,265,23790.8,0.190166
198.9,376,34667.8,0.194346
278.2,396,46040.7,0.195391
8704.8,10687,53380.5,0.198525
495.3,788,41192.9,0.200615
105.3,248,27826.4,0.203749
201.5,381,34660.1,0.207929
776.1,915,55587.4,0.216288
322.4,452,46745.1,0.220467
6757.4,8316,53253.1,0.227781
87.1,241,23685.4,0.228826
327.6,525,40894.5,0.23614
321.1,573,36725.3,0.249724
154.7,349,29049.9,0.251813
106.6,210,33267.3,0.252858
672.1,869,50686.7,0.270621
145.6,240,39758.5,0.272711
440.7,629,45916.9,0.272711
135.2,274,32337.5,0.272711
107.9,253,27949.9,0.274801
252.2,424,38981.6,0.27689
390,602,42456.9,0.280025
227.5,335,44505.8,0.28316
143,296,31661,0.285249
913.9,1133,52862.6,0.291518
247,333,48610.8,0.291518
91,217,27482.8,0.298833
409.5,512,52416,0.298833
109.2,254,28175.3,0.306147
305.5,361,55460.5,0.309281
291.2,431,44278.6,0.313461
118.3,228,34004,0.322865
1292.2,1686,50228.7,0.324954
2750.8,3357,53701.6,0.325999
551.2,745,48487.8,0.333313
214.5,329,42727.9,0.334358
728,1000,47710.2,0.336448
209.3,363,37787,0.342717
201.5,403,32768,0.345852
1387.1,1913,47519.6,0.347941
114.4,242,30980.7,0.350031
1116.7,1389,52688.3,0.354211
94.9,228,27277.9,0.357345
136.5,261,34274.6,0.36048
141.7,281,33047.9,0.364659
274.3,368,48849.2,0.368839
165.1,313,34568.7,0.376153
390,418,61146,0.378243
414.7,665,40868.8,0.381377
204.1,321,41669.5,0.386602
1151.8,1291,58469.7,0.387646
137.8,288,31357.2,0.396005
119.6,276,28398.9,0.398095
5996.9,7401,53102.7,0.415858
236.6,340,45605.3,0.417948
725.4,1066,44596.4,0.417948
1145.3,1553,48331.2,0.425262
286,405,46279.7,0.428396
140.4,249,36952.8,0.430486
102.7,237,28398.9,0.43571
508.3,656,50780.4,0.436755
235.3,393,39238.2,0.43989
248.3,320,50851.8,0.44198
239.2,354,44283.1,0.443024
249.6,392,41729,0.444069
130,285,29893.6,0.445114
97.5,216,29582.2,0.447204
205.4,364,36981,0.453473
453.7,701,42416.1,0.455563
204.1,253,52869.2,0.457653
111.8,271,27036.6,0.458698
1076.4,1356,52022.8,0.466012
248.3,369,44099.2,0.471236
110.5,268,27021.4,0.473326
123.5,237,34150.6,0.47855
410.8,652,41291.7,0.479595
383.5,572,43938.9,0.484819
141.7,308,30150.8,0.495268
282.1,377,49039,0.503627
193.7,354,35859.7,0.503627
137.8,221,40863.6,0.505717
165.1,288,37569.4,0.510941
149.5,248,39506.6,0.513031
557.7,706,51769.7,0.518255
128.7,272,31009.1,0.522435
106.6,269,25970.8,0.522435
110.5,245,29558.1,0.526614
144.3,336,28145.4,0.527659
91,226,26388.4,0.55587
284.7,393,47476.1,0.556915
371.8,497,49026.7,0.561095
111.8,265,27648.8,0.561095
266.5,373,46824,0.564229
127.4,311,26846.6,0.568409
378.3,545,45490.4,0.575723
3565.9,4529,51599.7,0.577813
163.8,312,34406.4,0.589306
135.2,297,29833.2,0.591396
2602.6,3384,50403.1,0.594531
1599,984,106496,0.595575
113.1,265,27970.3,0.59871
400.4,440,59637.8,0.59871
210.6,396,34853.2,0.599755
315.9,540,38338.6,0.602889
271.7,386,46129.9,0.611248
107.9,224,31568.5,0.623787
213.2,357,39138,0.623787
110.5,245,29558.1,0.63528
106.6,269,25970.8,0.638415
140.4,266,34591.2,0.64155
1365,1693,52839.1,0.650953
184.6,365,33145.1,0.654088
192.4,392,32166.1,0.655133
97.5,222,28782.7,0.657223
140.4,349,26364.6,0.663492
188.5,308,40108.9,0.665582
487.5,729,43825.5,0.669761
627.9,813,50615.1,0.677075
188.5,305,40503.4,0.681255
262.6,421,40878.3,0.688569
540.8,797,44469.1,0.689614
161.2,377,28022.3,0.689614
240.5,465,33895.5,0.694838
2438.8,3125,51145.3,0.695883
473.2,560,55377.9,0.697973
453.7,593,50141.1,0.703197
170.3,296,37705.3,0.711556
159.9,345,30374.5,0.717825
276.9,512,35443.2,0.733498
163.8,381,28175.3,0.739767
685.1,827,54291.1,0.748126
124.8,281,29106.4,0.750216
93.6,253,24245.7,0.750216
87.1,222,25712.5,0.750216
3422.9,4584,48936.1,0.75544
1791.4,2217,52955,0.758575
1050.4,1332,51680.9,0.765889
206.7,300,45154.3,0.776338
146.9,331,29085.3,0.777383
110.5,234,30947.6,0.779472
4901,6068,52932.1,0.780517
145.6,277,34447.8,0.7941
361.4,429,55209.1,0.801415
100.1,210,31238.8,0.818133
211.9,341,40724.6,0.822312
227.5,418,35668.5,0.825447
193.7,276,45993.9,0.828581
2727.4,3425,52187.7,0.830671
263.9,340,50867.5,0.843209
223.6,389,37670.6,0.844254
798.2,905,57802,0.849479
109.2,236,30324.3,0.849479
131.3,321,26806.5,0.850523
205.4,421,31974.1,0.863062
118.3,232,33417.7,0.868286
200.2,328,40000.9,0.873511
2831.4,3444,53878.8,0.892318
176.8,402,28822.8,0.892318
332.8,478,45628.4,0.898587
141.7,301,30852,0.900677
122.2,264,30335.2,0.903812
200.2,284,46198.3,0.903812
1137.5,1446,51554.1,0.906946
781.3,1036,49424,0.906946
204.1,320,41799.7,0.910081
131.3,251,34282.4,0.911126
106.6,266,26263.7,0.917395
162.5,289,36849.8,0.922619
1076.4,1412,49959.6,0.922619
274.3,340,52872.1,0.933068
96.2,233,27058.2,0.943517
159.9,332,31563.9,0.945606
215.8,315,44897.4,0.947696
573.3,786,47801.3,0.949786
144.3,310,30505.9,0.951876
256.1,448,37463.8,0.953965
314.6,497,41484.1,0.963369
127.4,281,29712.8,0.966504
110.5,301,24058.9,0.968594
250.9,472,34836.8,0.970683
843.7,1140,48502.4,0.973818
109.2,257,27846.4,0.976953
1209,1597,49613.7,0.983222
115.7,259,29276.1,0.989491
137.8,277,32602.4,0.991581
1933.1,2429,52156.3,0.99576
137.8,280,32253.1,0.99994
140.4,297,30980.7,1.01143
124.8,213,38398.6,1.02084
1144,1416,52947.2,1.02084
123.5,250,32374.8,1.02397
139.1,304,29987,1.02815
198.9,396,32916.9,1.0292
383.5,564,44562.2,1.03547
139.1,268,34015.1,1.04905
126.1,300,27547,1.05114
195,396,32271.5,1.05741
349.7,564,40634.6,1.06054
198.9,320,40734.7,1.06263
429,623,45128.3,1.06263
211.9,293,47396.2,1.07935
182,393,30350,1.08039
92.3,255,23721.5,1.08144
323.7,380,55826.3,1.08248
3794.7,4790,51918.5,1.08353
122.2,297,26964.6,1.08457
191.1,364,34406.4,1.08457
94.9,244,25489.2,1.08771
297.7,373,52305.8,1.09189
107.9,265,26684.3,1.09711
96.2,248,25421.6,1.10234
161.2,336,31441.7,1.10756
889.2,1112,52405.2,1.1107
579.8,740,51348.3,1.11174
198.9,321,40607.8,1.11383
127.4,216,38654.1,1.11592
470.6,637,48416.4,1.12532
102.7,297,22661.8,1.12532
455,616,48407.3,1.14309
157.3,285,36171.3,1.14936
258.7,376,45090.9,1.15458
595.4,873,44696.6,1.1598
245.7,300,53674,1.16085
146.9,328,29351.3,1.16189
1701.7,2260,49346.3,1.16503
348.4,473,48272.2,1.17443
205.4,308,43704.8,1.17652
