"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
128.7,287,29388.4,0.166824
132.6,259,33552.4,0.167866
118.3,230,33708.3,0.168909
183.3,399,30107.1,0.168909
101.4,224,29666.7,0.169952
123.5,329,24600.9,0.170994
85.8,227,24770.9,0.172037
130,258,33022,0.172037
71.5,241,19443.3,0.172037
96.2,229,27530.8,0.17308
107.9,212,33355.4,0.17308
107.9,280,25254.8,0.174122
135.2,269,32938.5,0.174122
456.3,645,46362.9,0.174122
85.8,218,25793.5,0.175165
97.5,242,26404,0.175165
91,208,28672,0.175165
141.7,263,35309.7,0.179336
106.6,265,26362.8,0.180378
106.6,229,30507.2,0.180378
101.4,240,27689,0.181421
92.3,224,27004.3,0.181421
105.3,273,25278.2,0.181421
98.8,245,26428.4,0.181421
322.4,448,47162.5,0.181421
111.8,221,33153.5,0.181421
89.7,212,27729.1,0.182463
98.8,213,30398.9,0.183506
109.2,256,27955.2,0.185591
109.2,220,32529.7,0.185591
161.2,377,28022.3,0.187677
117,301,25474.1,0.187677
98.8,224,28906.1,0.187677
180.7,369,32093.1,0.188719
167.7,336,32709.5,0.188719
109.2,268,26703.5,0.191847
106.6,281,24861.7,0.191847
152.1,392,25428.6,0.19289
131.3,329,26154.6,0.19289
163.8,269,39906.3,0.193933
100.1,256,25625.6,0.194975
111.8,273,26838.6,0.194975
4459,5635,51858.9,0.194975
187.2,280,43815.5,0.196018
105.3,233,29617.8,0.197061
96.2,220,28657.1,0.199146
87.1,232,24604.2,0.199146
310.7,410,49663.5,0.199146
93.6,232,26440.4,0.199146
523.9,814,42179.7,0.200189
84.5,224,24722.3,0.200189
111.8,284,25799,0.201231
98.8,210,30833.1,0.202274
104,229,29763.1,0.202274
139.1,383,23801.7,0.202274
265.2,365,47616.8,0.205402
96.2,225,28020.3,0.206444
152.1,325,30670.8,0.206444
127.4,255,32742.3,0.206444
110.5,227,31901.9,0.206444
191.1,320,39137.3,0.207487
114.4,215,34871.2,0.209572
175.5,292,39388.9,0.210615
84.5,217,25519.8,0.211658
1874.6,2382,51575.9,0.211658
119.6,262,29916.4,0.2127
178.1,344,33930.1,0.2127
102.7,209,32203.6,0.2127
122.2,248,32292.3,0.214786
3564.6,4376,53384.3,0.215828
93.6,224,27384.7,0.216871
110.5,212,34159.1,0.217914
364,476,50115.8,0.218956
145.6,319,29912.4,0.218956
325,468,45511.1,0.219999
101.4,248,26795.8,0.219999
191.1,368,34032.4,0.219999
126.1,221,37394.1,0.221041
91,268,22252.9,0.221041
210.6,440,31367.9,0.222084
325,556,38307.9,0.223127
119.6,344,22785.2,0.224169
252.2,402,41114.9,0.224169
87.1,213,26799,0.225212
513.5,705,47734.4,0.225212
93.6,224,27384.7,0.226255
270.4,506,35021.6,0.227297
148.2,293,33148.2,0.22834
145.6,309,30880.4,0.229383
98.8,251,25796.6,0.230425
113.1,285,26007.4,0.231468
117,297,25817.2,0.231468
97.5,252,25356.2,0.231468
91,213,27998.9,0.231468
106.6,230,30374.5,0.232511
115.7,232,32683.3,0.233553
96.2,214,29460.6,0.233553
110.5,275,26333.6,0.233553
126.1,227,36405.7,0.235639
120.9,277,28604,0.237724
174.2,338,33776.2,0.238766
110.5,256,28288,0.239809
114.4,248,30231.1,0.240852
128.7,300,28114.9,0.240852
117,275,27882.6,0.241894
141.7,269,34522.1,0.241894
221,254,57021.5,0.241894
148.2,320,30351.4,0.242937
109.2,232,30847.1,0.242937
105.3,282,24471.4,0.24398
153.4,321,31318.5,0.245022
105.3,240,28753.9,0.246065
234,426,35998.6,0.247108
109.2,287,24935.6,0.247108
91,212,28131,0.24815
114.4,250,29989.3,0.249193
192.4,253,49838.4,0.249193
107.9,303,23337.7,0.250236
188.5,263,46971.6,0.251278
91,253,23572.2,0.251278
197.6,361,35872.3,0.253364
126.1,257,32156,0.254406
416,527,51732.4,0.254406
102.7,267,25208,0.255449
92.3,254,23814.9,0.255449
146.9,420,22922,0.256492
114.4,280,26776.1,0.258577
179.4,289,40682.2,0.258577
94.9,246,25282,0.258577
119.6,261,30031.1,0.258577
130,285,29893.6,0.259619
213.2,413,33831.2,0.260662
202.8,257,51714.8,0.260662
97.5,216,29582.2,0.261705
89.7,208,28262.4,0.261705
107.9,286,24724.9,0.262747
89.7,212,27729.1,0.262747
198.9,232,56185.8,0.262747
98.8,233,27789.5,0.26379
131.3,278,30952.8,0.26379
224.9,424,34761.9,0.265875
120.9,292,27134.6,0.265875
101.4,231,28767.7,0.265875
657.8,912,47269.3,0.266918
760.5,952,52353.1,0.266918
139.1,243,37514.6,0.267961
136.5,254,35219.1,0.267961
85.8,213,26399,0.269003
74.1,229,21206.2,0.269003
163.8,229,46876.8,0.270046
141.7,251,36997.8,0.272131
101.4,240,27689,0.273174
120.9,253,31317.4,0.273174
2394.6,3033,51741.7,0.274217
726.7,888,53631.8,0.274217
104,252,27046.6,0.275259
200.2,269,48774.4,0.276302
96.2,236,26714.2,0.277344
105.3,272,25371.1,0.277344
89.7,228,25783.2,0.278387
366.6,597,40243.7,0.280472
102.7,228,29519.9,0.282558
686.4,940,47855.2,0.282558
193.7,284,44698.3,0.282558
275.6,356,50735.2,0.286728
166.4,248,43972.5,0.286728
130,281,30319.1,0.287771
111.8,293,25006.6,0.289856
118.3,220,35240.5,0.289856
119.6,240,32658.8,0.290899
109.2,261,27419.7,0.291942
127.4,232,35988.3,0.291942
622.7,713,57236,0.294027
119.6,217,36120.3,0.294027
98.8,213,30398.9,0.295069
170.3,324,34446.9,0.29924
137.8,322,28046.2,0.29924
100.1,228,28772.6,0.29924
234,320,47923.2,0.300283
89.7,232,25338.7,0.300283
93.6,251,24438.9,0.300283
113.1,264,28076.2,0.301325
117,256,29952,0.301325
124.8,243,33658,0.301325
88.4,229,25298.6,0.301325
96.2,253,24919.2,0.302368
312,400,51118.1,0.302368
210.6,352,39209.9,0.305496
107.9,277,25528.3,0.306539
310.7,481,42332.7,0.306539
270.4,498,35584.2,0.306539
101.4,264,25171.8,0.306539
78,225,22719.1,0.306539
291.2,501,38092,0.307581
131.3,268,32107.7,0.307581
92.3,209,28942.5,0.311752
131.3,272,31635.6,0.312795
3532.1,4352,53189.3,0.313837
92.3,251,24099.5,0.313837
144.3,251,37676.7,0.31488
2220.4,2782,52306.3,0.315922
122.2,292,27426.4,0.315922
267.8,383,45823.9,0.316965
94.9,261,23829,0.31905
146.9,249,38663.6,0.320093
158.6,328,31689.1,0.320093
157.3,285,36171.3,0.321136
94.9,249,24977.4,0.323221
162.5,228,46708.8,0.323221
132.6,281,30925.5,0.324264
111.8,271,27036.6,0.324264
93.6,278,22065.4,0.325306
280.8,408,45104.2,0.325306
252.2,436,37908.7,0.329477
236.6,357,43433.7,0.329477
102.7,278,24210.6,0.33052
10806.9,11849,59772.2,0.331562
101.4,269,24703.9,0.331562
100.1,240,27334,0.332605
89.7,213,27599,0.335733
97.5,240,26624,0.336775
92.3,227,26647.5,0.336775
93.6,268,22888.7,0.337818
75.4,233,21207.8,0.337818
136.5,331,27026.2,0.339903
93.6,217,28268.1,0.340946
92.3,216,28004.5,0.341989
96.2,214,29460.6,0.341989
708.5,825,56281.5,0.341989
113.1,280,26471.9,0.343031
105.3,212,32551.6,0.343031
742.3,985,49388.2,0.343031
162.5,237,44935,0.343031
89.7,236,24909.2,0.345117
107.9,241,29341.6,0.346159
118.3,228,34004,0.347202
113.1,254,29181.6,0.348245
137.8,257,35139.5,0.348245
91,214,27868.1,0.348245
538.2,672,52487.3,0.348245
110.5,253,28623.4,0.349287
1094.6,1497,47919.6,0.351373
405.6,390,68157.4,0.353458
559,650,56361,0.3545
114.4,252,29751.3,0.355543
113.1,292,25384,0.357628
101.4,249,26688.2,0.357628
87.1,216,26426.8,0.357628
158.6,290,35841.4,0.358671
126.1,255,32408.2,0.358671
144.3,348,27174.8,0.361799
471.9,619,49961.9,0.363884
104,276,24694.7,0.364927
328.9,529,40746.3,0.36597
577.2,640,59105.3,0.368055
113.1,264,28076.2,0.369098
88.4,220,26333.6,0.369098
85.8,218,25793.5,0.37014
167.7,225,48846.2,0.371183
104,213,31998.8,0.371183
249.6,452,36189.8,0.371183
195,396,32271.5,0.372225
122.2,252,31779.8,0.373268
447.2,645,45438.3,0.373268
156,252,40569.9,0.374311
244.4,274,58456.2,0.374311
92.3,224,27004.3,0.374311
373.1,494,49496.9,0.375353
153.4,368,27318.5,0.375353
111.8,217,33764.6,0.376396
379.6,580,42892.2,0.376396
218.4,424,33757.2,0.377439
85.8,216,26032.4,0.380567
101.4,233,28520.8,0.380567
248.3,416,39116.8,0.382652
113.1,233,31811.7,0.383695
179.4,261,45046.6,0.38578
93.6,245,25037.4,0.38578
254.8,478,34934.2,0.38578
292.5,383,50050.3,0.387865
100.1,248,26452.2,0.388908
306.8,380,52911.7,0.389951
111.8,237,30915.3,0.390993
139.1,361,25252.2,0.390993
130,268,31789.9,0.392036
100.1,268,24478.2,0.392036
78,212,24112.3,0.392036
102.7,257,26188.9,0.393078
67.6,217,20415.8,0.393078
93.6,256,23961.6,0.394121
349.7,332,69029.9,0.395164
111.8,265,27648.8,0.395164
81.9,213,25199.1,0.397249
161.2,242,43654.6,0.397249
183.3,257,46742.2,0.397249
113.1,242,30628.6,0.397249
110.5,316,22916.9,0.397249
122.2,213,37598.6,0.400377
128.7,280,30123.2,0.40142
88.4,213,27199,0.402462
167.7,334,32905.3,0.403505
548.6,873,41183.3,0.403505
110.5,273,26526.5,0.403505
158.6,296,35114.9,0.403505
321.1,465,45255.1,0.40559
84.5,264,20976.5,0.40559
120.9,275,28812,0.406633
165.1,310,34903.2,0.406633
128.7,229,36831.8,0.407676
118.3,232,33417.7,0.408718
120.9,288,27511.5,0.410803
91,216,27610.1,0.410803
211.9,361,38468.4,0.412889
88.4,220,26333.6,0.412889
475.8,588,53030.7,0.413931
131.3,225,38243.9,0.413931
167.7,324,33920.9,0.416017
104,223,30563.9,0.416017
102.7,211,31898.3,0.417059
383.5,541,46456.7,0.417059
91,236,25270.2,0.417059
88.4,225,25748.4,0.417059
100.1,229,28647,0.418102
482.3,617,51228.5,0.419145
70.2,217,21201,0.420187
215.8,381,37119.9,0.42123
87.1,212,26925.4,0.422273
85.8,217,25912.4,0.422273
113.1,308,24065.3,0.422273
96.2,236,26714.2,0.423315
131.3,349,24655.8,0.423315
115.7,252,30089.3,0.424358
3948.1,4821,53669.9,0.424358
102.7,246,27359.9,0.424358
477.1,677,46185,0.424358
110.5,284,25499,0.424358
231.4,384,39492.3,0.424358
335.4,545,40331.7,0.424358
119.6,337,23258.5,0.425401
100.1,248,26452.2,0.425401
117,211,36339.9,0.426443
557.7,704,51916.8,0.426443
106.6,261,26766.8,0.426443
136.5,270,33132.1,0.427486
148.2,218,44552.5,0.427486
94.9,245,25385.2,0.427486
106.6,244,28631.7,0.427486
97.5,215,29719.8,0.428528
135.2,276,32103.1,0.428528
94.9,249,24977.4,0.429571
88.4,254,22808.6,0.430614
96.2,239,26378.9,0.430614
87.1,220,25946.3,0.431656
273,408,43851.3,0.431656
91,222,26863.9,0.431656
111.8,237,30915.3,0.432699
98.8,208,31129.6,0.432699
87.1,276,20681.8,0.433742
182,381,31305.9,0.433742
89.7,216,27215.6,0.433742
3331.9,4208,51891.5,0.434784
91,228,26156.9,0.434784
118.3,329,23565.1,0.43687
118.3,265,29256.3,0.43687
127.4,268,31154.1,0.437912
252.2,265,62370.5,0.438955
89.7,228,25783.2,0.439998
183.3,343,35022.6,0.439998
143,258,36324.2,0.44104
102.7,252,26708.5,0.443126
100.1,215,30512.3,0.444168
98.8,220,29431.6,0.445211
96.2,260,24248.3,0.446254
98.8,215,30116.1,0.450424
1443,1669,56661.7,0.450424
79.3,221,23515.9,0.450424
92.3,237,25523.1,0.451467
92.3,245,24689.7,0.451467
100.1,230,28522.4,0.451467
101.4,245,27123.9,0.451467
993.2,1095,59443.2,0.452509
111.8,260,28180.5,0.453552
170.3,281,39718.1,0.453552
127.4,266,31388.3,0.455637
149.5,336,29159.6,0.455637
91,248,24047.5,0.45668
96.2,209,30165.4,0.459808
153.4,249,40374.4,0.462936
91,215,27738.5,0.462936
577.2,800,47284.2,0.463979
292.5,431,44476.3,0.465021
144.3,225,42030.4,0.466064
146.9,280,34383,0.466064
101.4,228,29146.3,0.468149
101.4,209,31795.9,0.469192
92.3,209,28942.5,0.470234
130,264,32271.5,0.473362
195,253,50511.9,0.474405
98.8,252,25694.3,0.478576
