"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
1310.4,1631,52653.8,0.0290091
650,873,48795.4,0.100496
217.1,352,40420.1,0.133649
2415.4,3065,51646.2,0.136757
587.6,634,60739.7,0.153334
115.7,284,26699,0.156442
677.3,942,47120.5,0.176126
648.7,789,53882.4,0.180271
1111.5,1442,50515.4,0.194775
318.5,361,57820.5,0.222748
106.6,256,27289.6,0.240361
169,245,45206.5,0.270406
518.7,761,44669.5,0.273514
393.9,520,49643.5,0.273514
182,270,44176.1,0.293199
284.7,328,56884.4,0.305631
763.1,979,51083.3,0.312883
809.9,1016,52241.7,0.323244
158.6,288,36090.3,0.357433
175.5,305,37710.1,0.465181
266.5,393,44441.1,0.475541
449.8,564,52266.1,0.485902
183.3,303,39646,0.497298
2386.8,1768,88473.6,0.500406
384.8,513,49158.4,0.544956
1417,1824,50912.6,0.547028
1856.4,2352,51726.6,0.550136
683.8,913,49083.8,0.613334
1064.7,1328,52542.3,0.641307
209.3,272,50429,0.646488
377,527,46882.5,0.646488
15691,19205,53544.7,0.749055
287.3,373,50478.5,0.754236
1032.2,1276,53014.3,0.821578
163.8,292,36763,0.897209
1249.3,1620,50539.6,0.897209
135.2,302,29339.3,0.984236
16428.1,19797,54383.6,1.01325
159.9,341,30730.8,1.02982
265.2,324,53642.4,1.0609
725.4,974,48808.8,1.07955
120.9,248,31948.8,1.09716
297.7,428,45584.3,1.11892
1075.1,1436,49065.3,1.1241
388.7,550,46316.1,1.1355
731.9,966,49654,1.16969
2316.6,2951,51447.2,1.18108
721.5,908,52075.1,1.21942
1141.4,1516,49342.2,1.24325
306.8,478,42063.7,1.27536
248.3,429,37931.4,1.30852
179.4,321,36626.7,1.33442
393.9,591,43679.6,1.35721
2065.7,2735,49498.2,1.38104
1014,1221,54425.5,1.38207
166.4,276,39511.6,1.3914
148.2,333,29166.5,1.40176
406.9,541,49291.3,1.4059
93.6,236,25992.2,1.43906
361.4,501,47274.9,1.45045
91,217,27482.8,1.49811
152.1,304,32789.6,1.51469
231.4,396,38295.5,1.5696
156,257,39780.6,1.59757
144.3,260,36372.5,1.60171
4070.3,5156,51736.1,1.61829
633.1,789,52586.6,1.69496
235.3,380,40580.6,1.72604
143,280,33470.2,1.74262
287.3,398,47307.8,1.75298
507,713,46601.3,1.76748
104,269,25337.3,1.81721
226.2,333,44517.2,1.86072
1050.4,1360,50616.9,1.90942
1098.5,1437,50098.3,1.93014
2613,3289,52066.2,1.955
211.9,372,37330.9,1.96122
390,497,51426.6,2.02131
327.6,412,52110.7,2.03996
130,248,34353.5,2.05757
1365,1728,51768.9,2.07622
322.4,441,47911.1,2.20676
162.5,305,34916.7,2.2078
245.7,397,40559.7,2.2109
299,440,44534.7,2.22127
141.7,317,29294.8,2.23059
718.9,949,49645.8,2.24406
708.5,917,50635,2.27307
102.7,233,28886.5,2.29586
1154.4,1455,51996.4,2.33005
743.6,1017,47918,2.34663
430.3,584,48287.9,2.36942
605.8,820,48416.7,2.39532
214.5,352,39936,2.39532
159.9,299,35047.5,2.43573
178.1,280,41685.6,2.46681
434.2,581,48977.2,2.46888
765.7,940,53383.9,2.50203
176.8,236,49096.5,2.52068
175.5,309,37221.9,2.57041
403,530,49832.1,2.61185
386.1,604,41893.1,2.63568
146.9,312,30856.5,2.71131
266.5,451,38725.8,2.71856
152.1,331,30114.9,2.72789
114.4,268,27975.1,2.75793
269.1,440,40081.2,2.78798
513.5,780,43144.5,2.86568
278.2,400,45580.3,2.93302
258.7,373,45453.5,2.95892
393.9,601,42952.8,2.96721
299,489,40072.1,2.97861
349.7,441,51968.1,2.97965
224.9,393,37503.9,3.02316
716.3,949,49466.2,3.10708
114.4,252,29751.3,3.11019
174.2,288,39640.2,3.11744
764.4,977,51275,3.12055
1124.5,1412,52192.1,3.12987
685.1,895,50166.2,3.13505
249.6,397,41203.5,3.18996
140.4,259,35526.1,3.20965
253.5,404,41122.2,3.2428
1261,1656,49903.9,3.306
1336.4,1704,51398.1,3.32568
88.4,214,27071.9,3.33915
375.7,526,46809.6,3.34847
1063.4,395,176433,3.42411
93.6,268,22888.7,3.42825
131.3,288,29878,3.45726
313.3,412,49836,3.5246
457.6,580,51705.6,3.54636
114.4,268,27975.1,3.54947
559,605,60553.1,3.58676
126.1,255,32408.2,3.59091
184.6,305,39665.4,3.69658
139.1,280,32557.3,3.70487
317.2,452,45991.2,3.71109
1519.7,2010,49549.8,3.71523
644.8,867,48740,3.77325
403,569,46416.5,3.8178
254.8,357,46774.7,3.83748
704.6,892,51767.6,3.86753
664.3,892,48806.7,3.8696
462.8,589,51494.2,3.87167
406.9,585,45583.9,3.87996
967.2,818,77489.5,3.94316
715,994,47141.1,3.95145
702,917,50170.4,3.96388
425.1,441,63173.1,3.98253
783.9,1024,50169.6,4.00636
331.5,484,44886.7,4.02397
232.7,385,39611,4.0478
101.4,237,28039.5,4.09753
250.9,392,41946.4,4.10064
650,920,46302.6,4.20839
1157,1565,48450.6,4.21875
414.7,604,44996.3,4.226
189.8,355,35038.7,4.23636
163.8,289,37144.6,4.25708
167.7,353,31134.2,4.28816
1138.8,1333,55988.3,4.29645
513.5,704,47802.2,4.32753
382.2,601,41677,4.38244
698.1,1013,45163.6,4.41352
247,384,42154.7,4.43113
755.3,1009,49057.8,4.50573
109.2,270,26505.7,4.51402
465.4,639,47731.5,4.53992
1054.3,1388,49780,4.54095
287.3,402,46837,4.55028
763.1,1024,48838.4,4.56478
214.5,363,38725.8,4.59794
111.8,239,30656.6,4.61555
104,248,27482.8,4.62695
104,232,29378.2,4.62695
218.4,380,37666,4.70672
141.7,273,34016.3,4.71915
716.3,629,74631.9,4.72433
179.4,264,44534.7,4.74091
3502.2,4377,52437.8,4.74195
323.7,524,40484.7,4.74713
560.3,765,47999.8,4.78028
310.7,513,39692.1,4.83208
322.4,492,42944.7,4.8528
968.5,708,89649.2,4.88077
794.3,1047,49718.5,4.89839
240.5,441,35740.2,4.90875
193.7,352,36063.4,4.98541
211.9,337,41207.9,4.99474
214.5,401,35056,5.04136
159.9,284,36898.6,5.06105
169,343,32290.3,5.11803
1704.3,2194,50908.4,5.1201
327.6,413,51984.5,5.12735
27303.9,29597,60458.4,5.15429
126.1,327,25272.4,5.19366
1729,2216,51133.5,5.20402
1318.2,1701,50787.5,5.27136
625.3,769,53289.5,5.29726
585,730,52518.6,5.2983
1861.6,2437,50062.3,5.39983
1398.8,1796,51042.2,5.40501
267.8,413,42495.3,5.41537
98.8,220,29431.6,5.42159
140.4,272,33828.1,5.46303
923,1187,50960.2,5.46821
211.9,301,46136.5,5.47339
152.1,296,33675.8,5.48478
159.9,296,35402.7,5.52623
430.3,533,52908.3,5.54695
146.9,296,32524.5,5.55938
150.8,315,31374.1,5.56352
510.9,712,47025.8,5.59771
1332.5,1656,52733.5,5.60704
127.4,333,25072.9,5.60911
209.3,313,43823.3,5.61118
412.1,564,47885.4,5.63087
187.2,293,41871.5,5.73447
283.4,513,36204.5,5.88573
172.9,245,46249.7,5.94893
518.7,610,55727.1,5.96033
757.9,1013,49032.3,6.02042
462.8,585,51846.3,6.07222
226.2,371,39957.5,6.0774
378.3,527,47044.2,6.10641
617.5,820,49351.8,6.11262
655.2,879,48850,6.12195
560.3,773,47503,6.22348
1710.8,2012,55725.1,6.25663
149.5,280,34991.5,6.34366
1042.6,1293,52844.4,6.36542
127.4,279,29925.8,6.42551
110.5,249,29083.2,6.42758
