"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
98.8,234,27670.8,0
3395.6,4236,52534,0
89.7,215,27342.2,0
156,300,34078.7,0.0010349
120.9,245,32340,0.00206981
98.8,224,28906.1,0.00206981
161.2,412,25641.8,0.00206981
5725.2,7137,52572,0.00310471
83.2,221,24672.4,0.00413961
488.8,593,54020.2,0.00517451
3277.3,4133,51967.4,0.00517451
254.8,432,38654.1,0.00620942
262.6,321,53612.9,0.00724432
206.7,360,37628.6,0.00724432
104,241,28281.1,0.00724432
6068.4,7509,52962.9,0.00724432
1181.7,1436,53930.3,0.00827922
114.4,256,29286.4,0.00827922
6368.7,8060,51784,0.00827922
1222,1612,49680.5,0.00827922
180.7,344,34425.5,0.00827922
140.4,324,28398.9,0.00827922
3443.7,4283,52693.5,0.010349
3486.6,4444,51417.1,0.010349
513.5,624,53930.7,0.010349
92.3,212,28532.9,0.010349
93.6,242,25347.8,0.0113839
5960.5,7500,52083.6,0.0124188
291.2,374,51027,0.0124188
127.4,244,34218.4,0.0134537
834.6,1188,46040.7,0.0134537
110.5,244,29679.2,0.0134537
349.7,604,37943.6,0.0144886
5517.2,6975,51838.7,0.0144886
109.2,213,33598.7,0.0155235
200.2,336,39048.5,0.0165584
227.5,287,51949.3,0.0165584
126.1,256,32281.6,0.0165584
3409.9,4372,51114.2,0.0175933
5155.8,6521,51815.8,0.021733
122.2,244,32821.7,0.0227679
165.1,310,34903.2,0.0227679
167.7,284,38698.5,0.0227679
100.1,266,24662.2,0.0227679
105.3,249,27714.6,0.0227679
799.5,1005,52135.4,0.0227679
127.4,209,39948.7,0.0248377
451.1,685,43158.1,0.0248377
214.5,388,36230.6,0.0248377
92.3,208,29081.6,0.0258726
159.9,315,33267.3,0.0258726
117,243,31554.4,0.0269075
403,652,40507.7,0.0269075
5574.4,6979,52346.2,0.0269075
988,1321,49015.6,0.0279424
146.9,225,42787.7,0.0279424
5470.4,7064,50751.4,0.0279424
169,284,38998.5,0.0279424
126.1,313,26402.8,0.0289773
128.7,258,32691.8,0.0289773
154.7,333,30445.7,0.0300122
123.5,228,35498.7,0.0300122
150.8,288,34315.4,0.0310471
1047.8,1376,49904.5,0.032082
5287.1,6442,53786.9,0.0331169
3512.6,4293,53622.6,0.0331169
105.3,245,28167.1,0.0331169
133.9,293,29949.7,0.0331169
126.1,209,39541.1,0.0331169
101.4,297,22374.9,0.0341518
124.8,286,28597.5,0.0341518
174.2,298,38310,0.0341518
148.2,324,29976.6,0.0341518
456.3,548,54569.5,0.0341518
3092.7,3876,52291.8,0.0351867
106.6,288,24257.4,0.0351867
88.4,216,26821.2,0.0351867
104,241,28281.1,0.0351867
397.8,512,50918.4,0.0351867
183.3,289,41566.6,0.0362216
117,272,28190.1,0.0362216
193.7,324,39180,0.0362216
391.3,497,51598.1,0.0372565
109.2,285,25110.6,0.0372565
3684.2,4609,52386.1,0.0372565
3688.1,4549,53133.3,0.0372565
3615.3,4609,51406.4,0.0382914
107.9,260,27197.4,0.0382914
101.4,228,29146.3,0.0382914
141.7,242,38373.8,0.0393263
429,648,43387.3,0.0393263
930.8,1173,52004.2,0.0403612
431.6,581,48683.9,0.0403612
150.8,438,22563.5,0.0403612
6721,8156,54005.3,0.042431
187.2,437,28074,0.0445008
126.1,240,34433.7,0.0445008
145.6,336,28398.9,0.0455357
141.7,313,29669.2,0.0455357
5621.2,6888,53483,0.0465706
136.5,267,33504.4,0.0465706
1072.5,1449,48507.5,0.0496753
3415.1,4259,52550.4,0.0496753
3263,4161,51392.4,0.0496753
5799.3,7253,52400.8,0.0496753
162.5,260,40960,0.0496753
5800.6,7182,52930.7,0.0507102
700.7,913,50296.9,0.0507102
135.2,299,29633.7,0.0507102
2854.8,3600,51970,0.0517451
96.2,208,30310.4,0.0517451
113.1,276,26855.5,0.05278
5426.2,6737,52784.8,0.05278
169,293,37800.6,0.05278
3242.2,4118,51598.1,0.0538149
115.7,269,28187.8,0.0538149
174.2,317,36013.8,0.0538149
179.4,324,36287.5,0.0548498
984.1,1374,46938.8,0.0548498
102.7,233,28886.5,0.0558847
175.5,244,47137.6,0.0558847
496.6,606,53704.9,0.0558847
312,562,36383,0.0579545
1004.9,1296,50815.7,0.0579545
6438.9,7797,54120.8,0.0589894
3149.9,4031,51211.1,0.0600244
915.2,1252,47906.2,0.0600244
115.7,272,27876.9,0.0600244
6210.1,7821,52037.5,0.0620942
224.9,424,34761.9,0.0620942
100.1,243,26996.5,0.0631291
100.1,220,29818.9,0.0631291
627.9,829,49638.2,0.0651989
91,220,27108.1,0.0651989
938.6,1204,51089.8,0.0651989
143,253,37042.1,0.0662338
196.3,313,41101.3,0.0672687
5691.4,6913,53955.1,0.0683036
274.3,497,36170.1,0.0693385
1062.1,1296,53708.2,0.0693385
6273.8,7808,52658.8,0.0703734
137.8,340,26561.4,0.0703734
6279,7822,52608.1,0.0714083
146.9,281,34260.6,0.0714083
5963.1,7542,51816.2,0.0724432
356.2,559,41760.1,0.0724432
400.4,568,46198.3,0.0734781
6202.3,7803,52092,0.0734781
178.1,357,32694.6,0.0734781
141.7,296,31373.1,0.074513
4065.1,4920,54148.5,0.074513
5744.7,7174,52479,0.0755479
