"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
2048.8,2571,52224.9,0.00208363
1922.7,2493,50543.9,0.00208363
295.1,476,40629.6,0.00625088
228.8,345,43462.7,0.00729269
312,393,52028.6,0.00729269
1240.2,1542,52709.3,0.0083345
1797.9,2260,52135.9,0.0083345
2048.8,2608,51483.9,0.0083345
1166.1,1448,52777.3,0.00937631
1842.1,2325,51924.2,0.0114599
1185.6,1553,50031.9,0.0145854
2095.6,2624,52338.9,0.016669
319.8,493,42512,0.0177108
215.8,381,37119.9,0.0177108
1830.4,2397,50044.7,0.0177108
270.4,437,40551.3,0.0208363
2002,2551,51432,0.0218781
1839.5,2416,49898,0.0218781
1090.7,1440,49639,0.0239617
317.2,462,44995.7,0.0291708
6500,8209,51892.3,0.0302126
1725.1,2229,50720.6,0.0343798
328.9,465,46354.4,0.0354216
2048.8,2565,52347,0.0354216
263.9,393,44007.5,0.0364634
2002,2580,50853.9,0.0375053
1132.3,1484,50004.3,0.0385471
1753.7,2185,52599.8,0.0385471
179.4,280,41989.9,0.0385471
1160.9,1508,50451.4,0.0427143
1977.3,2600,49840.1,0.0437561
366.6,461,52116,0.0479234
236.6,392,39555.7,0.0489652
256.1,415,40442.8,0.050007
348.4,479,47667.5,0.050007
1181.7,1399,55356.6,0.0520906
321.1,485,43388.9,0.0531324
343.2,405,55535.7,0.0552161
1948.7,2507,50941.4,0.0604251
1194.7,1448,54071.7,0.0635506
1831.7,2366,50736.4,0.066676
230.1,411,36690.6,0.0687596
317.2,449,46298.5,0.0687596
226.2,344,43093.7,0.0698014
351,506,45460.7,0.0698014
289.9,461,41212.3,0.0718851
379.6,577,43115.2,0.0729269
396.5,519,50067.5,0.0729269
1128.4,1492,49564.9,0.0729269
1211.6,1610,49318.9,0.0739687
263.9,392,44119.8,0.0791778
1864.2,2517,48538.8,0.0812614
340.6,456,48950.8,0.0843868
1153.1,1501,50346.1,0.0843868
1666.6,2065,52892.2,0.0843868
1232.4,1621,49825.1,0.0937631
221,393,36853.6,0.0979304
2042.3,2681,49923.2,0.108349
1173.9,1549,49666,0.10939
1082.9,1532,46324.4,0.10939
210.6,349,39546.9,0.110432
1843.4,2305,52411.7,0.110432
2096.9,2736,50227.5,0.112516
1108.9,1384,52509.3,0.113558
1994.2,2504,52193.2,0.114599
1842.1,2381,50703,0.116683
184.6,304,39795.9,0.116683
2211.3,2815,51481.3,0.118767
1723.8,2184,51726.6,0.118767
1076.4,1417,49783.3,0.121892
387.4,529,47993.7,0.127101
1951.3,2509,50968.7,0.128143
1248,1620,50487,0.129185
1106.3,1435,50524.4,0.131268
577.2,796,47521.8,0.13231
1238.9,1681,48300.1,0.13231
2029.3,2536,52441.7,0.133352
1203.8,1534,51429.1,0.135436
1218.1,1580,50524.9,0.135436
1916.2,2493,50373.1,0.138561
1017.9,1372,48621.8,0.139603
