"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
2713.1,3359,52934.1,0
2680.6,3361,52268.9,0
2875.6,3549,53101,0.00103684
2880.8,3570,52884.1,0.00103684
206.7,378,35836.8,0.00207368
230.1,304,49604.7,0.00311051
96.2,247,25524.5,0.00311051
110.5,249,29083.2,0.00311051
3214.9,4125,51076.8,0.00414735
1641.9,2253,47760.1,0.00414735
564.2,755,48974.1,0.00829471
2394.6,2907,53984.3,0.00829471
5189.6,6709,50693.9,0.00933154
4167.8,5365,50911.6,0.0103684
128.7,309,27296.1,0.0114052
3009.5,3760,52454.9,0.0155526
882.7,1207,47927.6,0.0186631
393.9,549,47021.2,0.0196999
275.6,477,37865.2,0.0196999
343.2,564,39879.4,0.0196999
2980.9,3901,50078.5,0.0196999
3183.7,4164,50107.3,0.0207368
5427.5,6796,52339.1,0.0217736
262.6,372,46262.8,0.0228104
910,1349,44208.9,0.0238473
4763.2,5934,52605.5,0.0238473
89.7,213,27599,0.0248841
93.6,229,26786.8,0.025921
5556.2,6828,53329.1,0.025921
4589,5770,52122.1,0.025921
3079.7,3885,51951.4,0.025921
110.5,212,34159.1,0.0269578
96.2,232,27174.8,0.0269578
2446.6,3084,51991,0.0279946
104,260,26214.4,0.0290315
720.2,1035,45602.9,0.0290315
3292.9,4048,53311.1,0.0300683
3110.9,3916,52062.3,0.0300683
126.1,280,29514.6,0.0300683
312,474,43137.6,0.0311051
2705.3,3433,51644.2,0.0331788
1068.6,1329,52695.1,0.0342157
2801.5,3481,52743.2,0.0342157
249.6,353,46339.3,0.0342157
1054.3,1333,51833.9,0.0352525
140.4,345,26670.3,0.0362893
257.4,418,40356.4,0.0373262
136.5,312,28672,0.0373262
4921.8,6232,51757.9,0.038363
252.2,368,44913.5,0.038363
387.4,538,47190.8,0.0393999
4664.4,5676,53855.9,0.0404367
923,1204,50240.6,0.0404367
128.7,276,30559.7,0.0414735
4590.3,5786,51992.7,0.0425104
354.9,438,53102.1,0.0435472
5626.4,6941,53123.7,0.0435472
2888.6,3627,52193.9,0.0435472
96.2,212,29738.5,0.0435472
4639.7,5706,53289.1,0.0435472
104,237,28758.4,0.044584
154.7,233,43512.5,0.044584
102.7,244,27584.2,0.044584
837.2,1095,50106.6,0.0456209
267.8,476,36870.9,0.0456209
403,533,49551.6,0.0466577
120.9,279,28398.9,0.0476946
183.3,376,31948.8,0.0497682
289.9,377,50394.9,0.0497682
128.7,244,34567.6,0.0497682
93.6,280,21907.8,0.0508051
330.2,485,44618.5,0.0508051
4472,5578,52541.6,0.0518419
124.8,309,26468.9,0.0518419
96.2,215,29323.5,0.0528787
479.7,645,48740.5,0.0539156
4712.5,5815,53110.6,0.0539156
1015.3,1178,56484.5,0.0549524
5136.3,6405,52554.6,0.0549524
4979,6068,53774.5,0.0549524
153.4,284,35398.7,0.0549524
854.1,980,57116.6,0.0570261
187.2,289,42451,0.0570261
781.3,1029,49760.2,0.0570261
815.1,1045,51118.1,0.0590998
132.6,237,36667,0.0590998
356.2,467,49987,0.0601366
488.8,707,45309.8,0.0611735
91,221,26985.4,0.0611735
257.4,420,40164.2,0.0611735
2893.8,3784,50118.4,0.0611735
4538.3,5701,52170.2,0.0611735
3023.8,3772,52536.5,0.0622103
4668.3,5929,51600.9,0.0632471
331.5,460,47228.7,0.064284
5071.3,6268,53023.7,0.0653208
5573.1,6924,52749.7,0.0663576
197.6,249,52007.7,0.0684313
4842.5,5921,53598.7,0.0684313
2636.4,3357,51468.3,0.0684313
4433,5576,52102.1,0.0684313
100.1,232,28276.5,0.0694682
380.9,572,43641,0.070505
5441.8,6833,52192.9,0.070505
2917.2,3600,53106,0.0715418
140.4,316,29117.9,0.0725787
