"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
97.5,230,27781.6,0
1495,1996,49086.3,0
2044.9,2569,52166,0.00206227
848.9,1081,51464.9,0.00515568
152.1,261,38191.7,0.00618682
1294.8,1684,50389.6,0.00618682
292.5,496,38647.7,0.00721795
1534,1899,52939.6,0.00824909
1818.7,2281,52253.5,0.00928023
361.4,636,37240.1,0.0103114
464.1,662,45944.5,0.0113425
410.8,556,48421.2,0.0123736
2577.9,3272,51633.6,0.0123736
2499.9,3192,51326.3,0.015467
1307.8,1597,53668.1,0.0164982
2139.8,2632,53280.4,0.0175293
1389.7,1789,50908.5,0.0175293
1359.8,1632,54605.3,0.0185605
1366.3,1664,53811.2,0.0185605
2324.4,2949,51655.4,0.0195916
288.6,437,43280.8,0.0206227
174.2,318,35900.5,0.022685
2273.7,2941,50666.2,0.022685
1367.6,1668,53733.2,0.022685
820.3,1080,49777,0.0247473
2255.5,2937,50329.1,0.0247473
2304.9,2875,52540.5,0.0257784
403,521,50692.9,0.0278407
2438.8,3058,52265.9,0.0278407
2376.4,3052,51028.7,0.0278407
271.7,444,40103.9,0.029903
1537.9,1908,52823.8,0.0329964
2142.4,2716,51695.3,0.0340275
340.6,421,53020.3,0.0360898
1587.3,1975,52671,0.038152
1492.4,1832,53387.5,0.038152
2154.1,2725,51805.9,0.0391832
397.8,544,47923.2,0.0391832
2477.8,3190,50904.4,0.0412454
1430,1824,51379.6,0.0443389
2360.8,3057,50610.9,0.0464011
2041,2741,48799.3,0.0474323
1523.6,1961,50918.2,0.0536191
430.3,633,44550,0.0546502
1293.5,1729,49028.8,0.0546502
378.3,552,44913.5,0.0567125
386.1,551,45922.8,0.060837
104,292,23341.6,0.060837
1394.9,1885,48496.6,0.0618682
106.6,244,28631.7,0.0618682
289.9,441,43081.4,0.0649616
377,515,47974.9,0.0649616
258.7,396,42813.5,0.0659927
373.1,557,43898.5,0.0659927
1989,2624,49676.5,0.068055
2353,3012,51197.3,0.068055
2229.5,2904,50314.2,0.0690861
1219.4,1677,47653.3,0.0711484
2363.4,3048,50816.2,0.0732107
308.1,455,44377.2,0.0742418
1391,1721,52969.5,0.0752729
